iter	RMSE
0	0.3886854552
1	0.3771201098
2	0.365161356
3	0.3542582501
4	0.3437731794
5	0.3334966904
6	0.3232785589
7	0.3145413783
8	0.30598502
9	0.2975859
10	0.2896843074
11	0.2818657462
12	0.2743972889
13	0.2675852346
14	0.2610999076
15	0.2555035201
16	0.2499238363
17	0.2441476215
18	0.2389956298
19	0.2336060156
20	0.2287041418
21	0.2238938921
22	0.2194610108
23	0.2153121916
24	0.2110589106
25	0.2074560005
26	0.2038595457
27	0.200384722
28	0.1971010193
29	0.1938930951
30	0.1910328484
31	0.1879450398
32	0.1848608995
33	0.1822016577
34	0.1795647146
35	0.1772152247
36	0.1749947335
37	0.172844892
38	0.1706522803
39	0.1686792925
40	0.1668751726
41	0.164904538
42	0.1630513475
43	0.1612012527
44	0.1594723081
45	0.15798965
46	0.1563482805
47	0.1547930927
48	0.1533370966
49	0.1518538297
50	0.1503841516
51	0.1491566031
52	0.1480796246
53	0.1467197651
54	0.1456756236
55	0.1445456349
56	0.1433736444
57	0.1422750317
58	0.1412123951
59	0.1401732549
60	0.1391539807
61	0.1384045547
62	0.1376669655
63	0.13668456
64	0.1357805065
65	0.1349745934
66	0.1342360929
67	0.1335510282
68	0.132727003
69	0.1320657668
70	0.1314078361
71	0.130501187
72	0.1296949894
73	0.1291114051
74	0.1285248572
75	0.1279000324
76	0.1273931986
77	0.1267563575
78	0.1261807903
79	0.1257962999
80	0.1252617107
81	0.1245749651
82	0.1245157274
83	0.1244421015
84	0.1239985738
85	0.1236396791
86	0.1233445018
87	0.1227863279
88	0.1223403788
89	0.1218703755
90	0.1215222216
91	0.1210491427
92	0.1206491332
93	0.1202831688
94	0.1198634213
95	0.1195123048
96	0.1191788512
97	0.118718083
98	0.1183935446
99	0.1181126377
100	0.1176573187
101	0.1172837766
102	0.1171126165
103	0.1166727492
104	0.1163245473
105	0.1159607977
106	0.1157133544
107	0.1153521044
108	0.1149624777
109	0.1146508496
110	0.1142419167
111	0.1139163093
112	0.1135432401
113	0.1131917628
114	0.1130606523
115	0.1128243662
116	0.1125644948
117	0.1123257673
118	0.1119930761
119	0.1118778445
120	0.1117773424
121	0.1116144495
122	0.1112755195
123	0.1108950804
124	0.1106169008
125	0.1105429523
126	0.1104374933
127	0.1102064243
128	0.1100862689
129	0.1097917982
130	0.1095713468
131	0.1094040941
132	0.109256678
133	0.1090949628
134	0.1090378095
135	0.1087776506
136	0.1087309566
137	0.1085185918
138	0.1084334717
139	0.1082013324
140	0.1079070464
141	0.1077173273
142	0.1074587882
143	0.1072352255
144	0.1069843619
145	0.106903735
146	0.1066607289
147	0.1064808208
148	0.1062696412
149	0.1060636912
150	0.1060015119
151	0.1059152605
152	0.1057693668
153	0.105457236
154	0.1052235547
155	0.1049778955
156	0.1047623211
157	0.1046728638
158	0.1044399475
159	0.1042056207
160	0.1040211309
161	0.1038253368
162	0.1037293261
163	0.1035563524
164	0.1035033028
165	0.10331818
166	0.1030773374
167	0.1029527527
168	0.1028902037
169	0.1028030075
170	0.1025328153
171	0.1024462454
172	0.1023895078
173	0.1023361429
174	0.1022909317
175	0.1021460848
176	0.1020310454
177	0.1019653918
178	0.101889586
179	0.1018502773
180	0.1016107376
181	0.1014875805
182	0.1012675032
183	0.1010449357
184	0.1010005544
185	0.1007975165
186	0.1005728317
187	0.1004040408
188	0.1003181114
189	0.1001079874
190	0.09991225349
191	0.099831748
192	0.09972666047
193	0.09952446726
194	0.09929824758
195	0.09924600429
196	0.09917045664
197	0.09896163737
198	0.0988945481
199	0.09868029391
200	0.09850278495
201	0.09846014716
202	0.09838974301
203	0.09834863435
204	0.09820177747
205	0.09813608465
206	0.09795037604
207	0.0978783358
208	0.09772488968
209	0.09753365916
210	0.09730094083
211	0.09722792036
212	0.09697331308
213	0.09674384504
214	0.09656657199
215	0.09639546363
216	0.09617100454
217	0.09594265478
218	0.09586983338
219	0.09564970402
220	0.09560321941
221	0.09556319474
222	0.09538276508
223	0.09518661469
224	0.09505019159
225	0.09483494688
226	0.09479110146
227	0.09459276173
228	0.09442123217
229	0.09439003358
230	0.09421767036
231	0.09416355118
232	0.09413240839
233	0.094084187
234	0.09385736396
235	0.09367917458
236	0.093569281
237	0.09343879761
238	0.09340034554
239	0.09321664161
240	0.09318728996
241	0.09300446745
242	0.09297199761
243	0.09275568539
244	0.09265331072
245	0.09249210121
246	0.09232606953
247	0.09230099499
248	0.09209984568
249	0.09195137464
250	0.09178198057
251	0.09169111881
252	0.091568391
253	0.09138498414
254	0.09123258411
255	0.09113053435
256	0.09099120049
257	0.09086077381
258	0.09072672462
259	0.09054815476
260	0.09038982471
261	0.09023932192
262	0.09010765692
263	0.0899599916
264	0.08987190031
265	0.0897669064
266	0.0896509859
267	0.08962571613
268	0.08941570263
269	0.0892753239
270	0.08924939771
271	0.08922549001
272	0.0891060347
273	0.08898454671
274	0.08889976092
275	0.08877873893
276	0.08870153284
277	0.08858630487
278	0.08856329653
279	0.0884190851
280	0.08820757902
281	0.0880673666
282	0.08790151404
283	0.08787319741
284	0.08774800181
285	0.08761602603
286	0.08759224476
287	0.0874316598
288	0.08735161948
289	0.08721548728
290	0.08703156868
291	0.08688183612
292	0.08681778446
293	0.08674385253
294	0.08660489441
295	0.08650834277
296	0.08647021309
297	0.08638338229
298	0.08623891793
299	0.08610105271
300	0.08604916668
301	0.086028955
302	0.08600472723
303	0.08597329241
304	0.08595142871
305	0.0859329971
306	0.08579588332
307	0.08565458966
308	0.08563683116
309	0.08549053451
310	0.08539009104
311	0.08531060933
312	0.08525102367
313	0.08523374444
314	0.08507412517
315	0.08495294033
316	0.08484150805
317	0.08476011195
318	0.08465244534
319	0.08451870744
320	0.08439845862
321	0.08438012493
322	0.08424629172
323	0.08420017231
324	0.08408197561
325	0.08400598767
326	0.08393292452
327	0.08391579296
328	0.08378341636
329	0.08367933153
330	0.08366407004
331	0.08354360001
332	0.08344479551
333	0.08337955279
334	0.08324748886
335	0.08323149521
336	0.08306735557
337	0.0829683821
338	0.08280765328
339	0.08267781825
340	0.082593669
341	0.08249397662
342	0.08247924963
343	0.08246385398
344	0.08244984314
345	0.08236568298
346	0.08220210961
347	0.08207261841
348	0.08196778515
349	0.08185523095
350	0.08167837656
351	0.08155674072
352	0.08145513317
353	0.08141174462
354	0.08132972185
355	0.08127040382
356	0.0812214366
357	0.08120810497
358	0.08109502937
359	0.080962519
360	0.08082264515
361	0.08072238444
362	0.08063039269
363	0.08052734942
364	0.08041696228
365	0.08024234252
366	0.08010630556
367	0.07997433269
368	0.0798734193
369	0.07978244419
370	0.07966792617
371	0.07956074324
372	0.07951303772
373	0.07941598704
374	0.0793673165
375	0.07929421019
376	0.07924392144
377	0.07923120904
378	0.07909647677
379	0.07908302554
380	0.07893642638
381	0.07881760379
382	0.07875858349
383	0.07859409612
384	0.07849240537
385	0.07841919375
386	0.07832486804
387	0.07823271049
388	0.0781615277
389	0.07807586657
390	0.07792598267
391	0.07780385481
392	0.07779214749
393	0.07777982842
394	0.0776762194
395	0.07757503193
396	0.07750089033
397	0.07735023286
398	0.07727323423
399	0.07724198785
400	0.07710993552
401	0.07702763329
